DEPARTAMENTO,RUTA,CÓDIGO DE TRAMO,TRAMO,PR Inicial,PR Final,SECTOR,RED PAVIMENTADA MUY BUENO (KMS),RED PAVIMENTADA BUENO (KMS),RED PAVIMENTADA REGULAR (KMS),RED PAVIMENTADA MALO (KMS),RED PAVIMENTADA MUY MALO (KMS),RED NO PAVIMENTADA MUY BUENO (KMS),RED NO PAVIMENTADA BUENO (KMS),RED NO PAVIMENTADA REGULAR (KMS),RED NO PAVIMENTADA MALO (KMS),RED NO PAVIMENTADA MUY MALO (KMS),TOTAL PAVIMENTO,TOTAL NO PAVIMENTADO,RED EN INTERVENCIÓN,LONGITUD TOTAL CALIFICADA,LONGITUD TOTAL INVENTARIO,CALZADA UNICA,CALZADA IZQUIERDA,CALZADA DERECHA,"DISTANCIA
EFECTIVA"
NARIÑO,25,25NR01,Ipiales - Las Lajas - Potosí - Las Delicias,0+0000,5+0870,Ipiales - Las Lajas,0,5.5,0,0.37,0,0,0,0,0,0,5.87,0,,5.87,5.87,5.87,0,0,5.87
NARIÑO,25,25NRB,Variante de Daza,0+0000,3+0599,Variante de Daza,0,0,0,3.59,0,0,0,0,0,0,3.59,0,,3.59,3.59,3.59,0,0,3.59
NARIÑO,25,25NRD,Variante Oriental de Pasto,0+0440,21+0170,Variante Oriental de Pasto (*),0,23.68,4,0,0,0,0,0,0,0,27.68,0,,27.68,21.26,22.44,2.62,2.62,25.06
NARIÑO,25,25NR04,Accesos Aeropuerto de Pasto,0+0000,0+0700,Accesos Aeropuerto de Pasto,0.18,0.6,0.02,0,0,0,0,0,0,0,0.8,0,,0.8,0.7,0.8,0,0,0.8
NARIÑO,25,2501A,Pasto - Buesaco - Mojarras,2+0000,102+0000,Pasto - Higuerones,15.52,36.66,23.5,12.36,0,0,0,0,1.31,10.35,88.04,11.66,,99.7,99.97,99.7,0,0,99.702
NARIÑO,25,2501B,Cebadal - Sandoná - Pasto,0+0000,60+0000,Cebadal - Santa Bárbara,20.46,38.56,0.5,0,0,0,0,0,1.05,0,59.52,1.05,,60.57,60.4,60.58,0,0,60.575
NARIÑO,25,2501B,Cebadal - Sandoná - Pasto,60+0000,91+0000,Santa Bárbara - Pasto,0,9.25,21.8,0,0,0,0,0,0,0,31.05,0,,31.05,31.05,31.05,0,0,31.054
NARIÑO,25,2502,San Juan de Pasto - Mojarras,5+0000,124+0599,San Juan de Pasto - Mojarras (*),2.86,68.73,36.48,14.42,0,0,0,0,0,0,122.49,0,,122.49,122.49,118.48,2.01,2.01,120.485
NARIÑO,25,25NRE,Pasto Cano,0+0000,6+0000,Par Vial Alto de Daza,0,0,0,5,0,0,0,0,0,0,5,0,,5,6,5,0,0,5
NORTE DE SANTANDER,55,5505,Presidente - Pamplona - Cúcuta,0+0000,68+0500,Presidente - Pamplona (*),0,10.83,23.8,34.11,0,0,0,0,0,0,68.74,0,,68.74,68.74,68.74,,,68.74
